# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.06600    73885554.74516420 816804.84592489
0.06700    72868705.84482522 743260.83440105
0.06800    71851092.88565804 966756.50002951
0.06900    70833176.48784685 1115622.58191583
0.07000    69815295.31714085 892239.51593527
0.07100    68797939.53907605 1040224.89455264
0.07200    67781515.72823542 890649.15839308
0.07300    66766531.77324925 815219.39114896
0.07400    65753313.01632047 887669.76732022
0.07500    64742264.12050774 738061.84556858
0.07600    63733723.09254321 956961.89709748
0.07700    62728267.79946692 880704.92119945
0.07800    61726069.46281882 877744.74892419
0.07900    60727582.21852286 801604.12288273
0.08000    59733227.34532789 1016062.24480859
0.08100    58743351.07220977 939306.22771520
0.08200    57758179.37725022 1078634.05048526
0.08300    56778156.72228177 786945.28910374
0.08400    55803590.87100819 711495.81700201
0.08500    54834820.59875159 919579.98461089
0.08600    53872137.97737020 703031.43361306
0.08700    52915865.09655967 838187.34248886
0.08800    51966202.50694073 832498.60325846
0.08900    51023568.28043215 826581.84496730
0.09000    50088189.39835789 957185.34436688
0.09100    49160274.26591901 881935.36176494
0.09200    48240103.61079039 1076719.16318435
0.09300    47328041.78937957 667325.42058931
0.09400    46424065.44506823 793851.55641969
0.09500    45528598.36049039 852295.40136855
0.09600    44641821.71638094 714492.39015738
0.09700    43763988.42126238 643330.66003732
0.09800    42895235.68967234 636994.27994163
0.09900    42035807.74342302 693590.86038084
0.10000    41185715.97174314 686359.98894667
0.10100    40345258.59567036 679010.73410022
0.10200    39514630.86916030 732601.29077309
0.10300    38693865.66736052 1086523.79905037
0.10400    37883179.94113907 656326.12335716
0.10500    37082811.92243604 707540.08476939
0.10600    36292543.12202878 640744.87896874
0.10700    35512845.11438785 920492.98868118
0.10800    34743607.24550715 568058.00519781
0.10900    33984991.09192439 841128.56911339
0.11000    33237083.30878674 664076.95576736
0.11100    32499958.41503756 545999.32707466
0.11200    31773646.19495935 700132.32686614
0.11300    31058227.55758531 743534.00273477
0.11400    30353807.91023827 785404.81665775
0.11500    29660366.27065585 567699.43715218
0.11600    28977940.40567723 610275.45368234
0.11700    28306603.15156728 551129.58931642
0.11800    27646221.39880793 542833.58273214
0.11900    26996927.92610743 680322.61578222
0.12000    26358682.10735527 574092.12334075
0.12100    25731624.91466242 612155.38555731
0.12200    25115544.33701767 602396.35930304
0.12300    24510516.15188507 547074.74628518
0.12400    23916470.72579177 717494.15558026
0.12500    23333360.26106365 705600.84754282
0.12600    22761313.16806843 433603.03628458
0.12700    22200075.78897673 554113.91780624
0.12800    21649674.68024586 628381.83720930
0.12900    21110095.23576324 535140.93944891
0.13000    20581223.42015724 485305.27112211
0.13100    20062939.12000491 397246.21330134
0.13200    19555263.96344795 468153.04135383
0.13300    19058128.05270601 383068.39191838
0.13400    18571376.13912397 413677.42300206
0.13500    18094952.74847643 406050.75882037
0.13600    17628754.22764092 615860.55798092
0.13700    17172694.20742594 391022.26554107
0.13800    16726656.41176351 383625.88289396
0.13900    16290565.80090651 478942.65713272
0.14000    15864311.27243961 369083.21915949
0.14100    15447772.08646845 460652.58534423
0.14200    15040807.05685575 483937.98987941
0.14300    14643350.60430339 569333.49834941
0.14400    14255168.96526054 341054.93358138
0.14500    13876317.94605739 334280.51508924
0.14600    13506560.42697502 387165.57290352
0.14700    13145808.02261235 291836.95186985
0.14800    12793843.17242989 314536.64923361
0.14900    12450609.43673315 420208.08831550
0.15000    12115966.93250673 301869.33036647
0.15100    11789771.45561055 349448.84243303
0.15200    11471952.80661246 315937.59520226
0.15300    11162278.57209281 438342.70021105
0.15400    10860578.58614679 328261.00325726
0.15500    10566829.64378607 321442.97293382
0.15600    10280780.76882166 266323.63838545
0.15700    10002438.86094167 284469.37463123
0.15800    9731456.13885201 301723.81182609
0.15900    9467872.24427954 363566.31134088
0.16000    9211410.29362041 311437.79672793
0.16100    8962098.76684605 261334.81237735
0.16200    8719610.50863183 277152.83310015
0.16300    8483902.18302663 313056.00533238
0.16400    8254820.31529643 265598.85618347
0.16500    8032202.36002416 240002.21784834
0.16600    7815936.02011716 313262.73047638
0.16700    7605818.06327797 249166.61151732
0.16800    7401743.50757897 262687.88948715
0.16900    7203661.49052875 220432.05201855
0.17000    7011306.17345774 233792.01539353
0.17100    6824602.50683413 211289.70358896
0.17200    6643394.76432357 224114.93295781
0.17300    6467564.15555675 168803.43243168
0.17400    6297007.99280072 198355.76114078
0.17500    6131536.15951768 161872.56225612
0.17600    5970983.46265742 158529.61842077
0.17700    5815346.85674564 186323.72209031
0.17800    5664395.97272176 167297.94295617
0.17900    5518063.30431563 253279.11763137
0.18000    5376207.25825881 248138.85772578
0.18100    5238756.27309738 185923.46891460
0.18200    5105435.94044787 266274.02405228
0.18300    4976266.97876923 178548.46763275
0.18400    4851090.10614154 201926.63520730
0.18500    4729832.50448206 158354.79973107
0.18600    4612315.42122639 155250.54441305
0.18700    4498459.27942432 126856.55767308
0.18800    4388145.08358167 174165.48659600
0.18900    4281336.40164326 122018.09321188
0.19000    4177760.76440847 143631.42186677
0.19100    4077567.41765277 117433.94717716
0.19200    3980396.05260060 126755.71828444
0.19300    3886366.25051198 113093.26323385
0.19400    3795214.82876617 133212.04678448
0.19500    3706949.74220980 163476.49135655
0.19600    3621440.30069171 171221.70550802
0.19700    3538608.69751699 178664.36158088
0.19800    3458351.75576662 103231.80478824
0.19900    3380642.22813564 141986.98029200
0.20000    3305292.14160572 179378.21300256
0.20100    3232330.33386960 107733.57511961
0.20200    3161603.55700215 105897.91614689
0.20300    3093093.78282569 104113.54165080
