# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.07800    62527771.69483036 889144.95519802
0.07900    61547411.83345693 812425.87430744
0.08000    60571149.16723190 1030315.29566780
0.08100    59599329.00404884 952993.31548748
0.08200    58632128.26193664 1094955.04667264
0.08300    57669992.40636347 799306.13226524
0.08400    56713202.32377999 723093.36356923
0.08500    55762069.81903304 935129.95476500
0.08600    54816873.75337758 715360.23606881
0.08700    53877917.36007150 853426.25105847
0.08800    52945369.64976422 848184.86162318
0.08900    52019633.92712747 842718.10920168
0.09000    51100906.88365198 976538.37641997
0.09100    50189395.40312354 900397.79583378
0.09200    49285337.70885362 1100048.78934930
0.09300    48389084.46943977 682286.12308120
0.09400    47500592.10911611 812260.16324006
0.09500    46620261.77695195 872731.34148526
0.09600    45748258.74461707 732200.91562674
0.09700    44884810.95401832 659806.75204342
0.09800    44030035.64481521 653846.06006783
0.09900    43184158.97437419 712538.65658250
0.10000    42347167.10139834 705715.57293261
0.10100    41519343.26256549 698770.57997341
0.10200    40700864.76782760 754594.06828884
0.10300    39891745.59426435 1120160.26898011
0.10400    39092191.33743683 677272.24678343
0.10500    38302409.99446118 730810.01707846
0.10600    37522177.36624148 662454.07257181
0.10700    36751942.15717493 952610.38554159
0.10800    35991579.25111474 588462.34844976
0.10900    35241240.11238611 872220.73383320
0.11000    34500991.70515766 689329.84671549
0.11100    33770898.42526261 567351.12025154
0.11200    33050978.28619457 728278.34082154
0.11300    32341292.00797512 774250.56712326
0.11400    31641940.91703148 818735.25977787
0.11500    30952896.45257495 592438.46599902
0.11600    30274184.33597454 637574.35213995
0.11700    29605862.84918280 576426.17682034
0.11800    28947794.46940308 568389.97117694
0.11900    28300110.54392140 713162.81929796
0.12000    27662755.75267139 602494.84867365
0.12100    27035869.46638826 643183.36490454
0.12200    26419241.24268280 633665.53105855
0.12300    25812929.35962570 576144.61045156
0.12400    25216877.82746665 756506.37046867
0.12500    24631018.84882926 744842.04508592
0.12600    24055496.30017407 458257.22611298
0.12700    23490049.30584726 586311.65830469
0.12800    22934708.48384127 665679.94511649
0.12900    22389461.55541447 567572.87718065
0.13000    21854190.69882656 515321.84096796
0.13100    21328786.87502297 422310.00003214
0.13200    20813272.58934199 498269.76927745
0.13300    20307580.88899358 408182.39511171
0.13400    19811571.28819620 441302.77125006
0.13500    19325194.41781649 433657.38318197
0.13600    18848344.39370064 658466.94244114
0.13700    18380955.10354254 418534.36744293
0.13800    17922911.43156101 411061.99306678
0.13900    17474164.31237377 513740.45501085
0.14000    17034594.81594961 396309.86708327
0.14100    16604105.48644922 495134.44895792
0.14200    16182565.88066122 520674.08176802
0.14300    15769925.76068324 613134.74249546
0.14400    15365960.52191198 367630.62282784
0.14500    14970748.99358289 360645.36026782
0.14600    14584065.62689248 418052.26091621
0.14700    14205843.22112689 315369.73438706
0.14800    13835871.81868948 340154.92471054
0.14900    13474121.21115724 454751.61233210
0.15000    13120457.71781560 326896.21946329
0.15100    12774773.17903872 378644.29489303
0.15200    12437004.76537658 342515.12740074
0.15300    12106945.28303588 475439.76370036
0.15400    11784442.29512447 356184.78517886
0.15500    11469492.78353132 348901.98694075
0.15600    11161868.31780839 289148.21241915
0.15700    10861600.30642531 308903.92729402
0.15800    10568347.33103427 327671.62446440
0.15900    10282193.88728790 394836.26390836
0.16000    10002863.91030959 338196.84477128
0.16100    9730421.77466639 283739.11234297
0.16200    9464560.24437029 300831.06156836
0.16300    9205255.16628832 339673.93167131
0.16400    8952380.19554725 288042.84639012
0.16500    8705790.06711314 260129.01948637
0.16600    8465402.42150966 339293.34507318
